name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-08-17,58.1,50.1,53.4,58.1,50.1,53.4,48.5,83.8,0.045,100,8.33,rain,0,0,17.9,7.9,324.1,1007.7,81.5,10.6,67.2,5.9,3,10,2024-08-17T07:02:21,2024-08-17T17:46:39,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-18,59.2,44,54.1,59.2,44,54.1,50,86.8,0.047,100,8.33,rain,0,0,16.6,8.1,207.7,1017.6,54.4,9,68.6,5.8,3,10,2024-08-18T07:01:05,2024-08-18T17:47:30,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-19,64.2,42.2,52.4,64.2,40.9,51.8,47.2,84.4,0.007,100,4.17,rain,0,0,17.9,11.6,8.8,1021.5,56.5,7.9,132,11.4,6,10,2024-08-19T06:59:47,2024-08-19T17:48:20,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-20,63.5,51.9,57.7,63.5,51.9,57.7,49.7,75.7,0.014,100,4.17,rain,0,0,37.8,15.1,7.3,1013.6,85.7,12.2,52.4,4.5,4,10,2024-08-20T06:58:28,2024-08-20T17:49:11,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-21,64.4,53.7,58.6,64.4,53.7,58.6,49.8,73.5,0.052,100,12.5,rain,0,0,25.7,9.7,336.3,1011.9,69.6,10,87.9,7.6,5,10,2024-08-21T06:57:08,2024-08-21T17:50:02,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-22,65.8,52.4,58.4,65.8,52.4,58.4,43.6,59.8,0.138,100,4.17,rain,0,0,21.3,9.5,330.8,1017.1,53.7,10.3,145.7,12.7,6,10,2024-08-22T06:55:48,2024-08-22T17:50:52,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-23,64.6,51.5,58.2,64.6,51.5,58.2,47.8,69.3,0.004,100,4.17,rain,0,0,45.2,15.5,2.5,1017.8,80.9,10.3,120.8,10.5,7,10,2024-08-23T06:54:26,2024-08-23T17:51:43,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-24,70,58.9,63.4,70,58.9,63.4,49.9,62,0.003,100,4.17,rain,0,0,46.1,16.2,355.4,1010.6,18,11.1,172,14.9,7,10,2024-08-24T06:53:04,2024-08-24T17:52:33,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-25,73.3,53.5,60.6,73.3,53.5,60.6,50.9,71.7,0.373,100,4.17,rain,0,0,42.5,16.5,351.6,1006.7,51.9,10.7,113.4,9.7,6,30,2024-08-25T06:51:41,2024-08-25T17:53:24,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-26,65.1,54.9,59.5,65.1,54.9,59.5,46.2,62,0.026,100,4.17,rain,0,0,25.5,10.9,318.8,1014.5,73.9,10.6,101.8,8.7,8,10,2024-08-26T06:50:17,2024-08-26T17:54:14,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-27,66.9,54.3,61,66.9,54.3,61,47,60.6,0,0,0,,0,0,50.8,21.2,358.1,1010.9,86.2,10.7,83.8,7.3,4,10,2024-08-27T06:48:52,2024-08-27T17:55:04,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-28,67.6,51.8,58.6,67.6,51.8,58.6,39.9,51.6,0.008,100,8.33,rain,0,0,53.5,17,302.9,1005.4,46.7,10.1,121.1,10.2,6,10,2024-08-28T06:47:27,2024-08-28T17:55:55,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-29,62.6,52.5,57,62.6,52.5,57,42.1,58,0.052,100,8.33,rain,0,0,45.2,20.3,349.4,1009.1,84,9.4,112.6,9.7,6,10,2024-08-29T06:46:01,2024-08-29T17:56:45,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-30,66.9,56.7,61.1,66.9,56.7,61.1,41.1,48.9,0.133,100,4.17,rain,0,0,51.9,22.6,328.3,997.1,56.7,9.9,104.3,9.1,7,10,2024-08-30T06:44:35,2024-08-30T17:57:35,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999,94870099999"
